ItemInfoList (WoodcutterExcludedResources) amount: 6
 - ItemInfo (Item_SpecialBags_BloomBlockHotL2) components: 0
ItemInfoList (StartItems_Aska_Vanilla) amount: 5
 - ItemInfo (Item_Backpacks_Simple) components: 0
 - ItemInfo (Item_WaterSkins_Simple) components: 0
 - ItemInfo (Item_Elements_Water) components: 0
 - ItemInfo (Item_Elements_Water) components: 0
 - ItemInfo (Item_Elements_Water) components: 0
ItemInfoList (FarmCropWaterFuels) amount: 1
 - ItemInfo (Item_Elements_Water) components: 0
ItemInfoList (FarmCropComposts) amount: 4
 - ItemInfo (Item_Junk_SpoiledFood) components: 0
 - ItemInfo (Item_Junk_Compost) components: 0
 - ItemInfo (Item_Junk_Slime) components: 0
 - ItemInfo (Item_Iron_Slag) components: 0
ItemInfoList (StartItems_Draugar) amount: 2
 - ItemInfo (Item_OneHanded_1HSwordT2) components: 0
 - ItemInfo (Item_Shields_ShieldDraugar) components: 0
ItemInfoList (MetalworkerBlueprints_T2) amount: 12
 - ItemInfo (Item_Forging_IronBarForging) components: 0
 - ItemInfo (Item_Forging_IronPlateForging) components: 0
 - ItemInfo (Item_Forging_IronKnifeBladeForging) components: 0
 - ItemInfo (Item_Forging_IronNailsForging) components: 0
 - ItemInfo (Item_Forging_IronSmallAxeHeadForging) components: 0
 - ItemInfo (Item_Forging_IronLargeAxeHeadForging) components: 0
 - ItemInfo (Item_Forging_IronSmallHammerHeadForging) components: 0
 - ItemInfo (Item_Forging_IronLargeHammerHeadForging) components: 0
 - ItemInfo (Item_Forging_IronSmallPickaxeHeadForging) components: 0
 - ItemInfo (Item_Forging_IronLargePickaxeHeadForging) components: 0
 - ItemInfo (Item_Forging_IronSmallBladeForging) components: 0
 - ItemInfo (Item_Forging_IronLargeBladeForging) components: 0
ItemInfoList (ForgeRecipes) amount: 2
 - ItemInfo (Item_Materials_HotSteelBloom) components: 0
 - ItemInfo (Item_Materials_HotIronBloom) components: 0
ItemInfoList (ForgeFuels) amount: 1
 - ItemInfo (Item_Wood_Coal) components: 0
ItemInfoList (DyerBlueprints_T1) amount: 12
 - ItemInfo (Item_Dyes_Amber) components: 0
 - ItemInfo (Item_Dyes_Blar) components: 0
 - ItemInfo (Item_Dyes_Brunn) components: 0
 - ItemInfo (Item_Dyes_Clear) components: 0
 - ItemInfo (Item_Dyes_Grar) components: 0
 - ItemInfo (Item_Dyes_Hoss) components: 0
 - ItemInfo (Item_Dyes_Hvitr) components: 0
 - ItemInfo (Item_Dyes_Jarpr) components: 0
 - ItemInfo (Item_Dyes_Myrka Gulur) components: 0
 - ItemInfo (Item_Dyes_Svartr) components: 0
 - ItemInfo (Item_Dyeing_Cloth0Dyeing) components: 0
 - ItemInfo (Item_Dyeing_YuleDecorationDyeing0) components: 0
ItemInfoList (RunestoneFuel) amount: 1
 - ItemInfo (Item_Wood_Resin) components: 0
ItemInfoList (StonecutterExcludedResources) amount: 2
 - ItemInfo (Item_Magic_JotunBlood) components: 16
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 1
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 1
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 0,2
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 0,2
 - - Components item info (Item_Stone_Raw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_Raw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - ItemInfo (Item_Magic_JotunBloodSmall) components: 6
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 1
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 0,2
 - - Components item info (Item_Stone_Raw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
ItemInfoList (DyerBlueprints_T2) amount: 19
 - ItemInfo (Item_Dyes_Amber) components: 0
 - ItemInfo (Item_Dyes_Appels├şnugulur) components: 0
 - ItemInfo (Item_Dyes_Appels├şnugulurSumarr) components: 0
 - ItemInfo (Item_Dyes_Blar) components: 0
 - ItemInfo (Item_Dyes_Brunn) components: 0
 - ItemInfo (Item_Dyes_Clear) components: 0
 - ItemInfo (Item_Dyes_Grar) components: 0
 - ItemInfo (Item_Dyes_Gron) components: 0
 - ItemInfo (Item_Dyes_Gulgr) components: 0
 - ItemInfo (Item_Dyes_HaustRaudr) components: 0
 - ItemInfo (Item_Dyes_Hoss) components: 0
 - ItemInfo (Item_Dyes_Hvitr) components: 0
 - ItemInfo (Item_Dyes_Jarpr) components: 0
 - ItemInfo (Item_Dyes_Myrka Gulur) components: 0
 - ItemInfo (Item_Dyes_Raudr) components: 0
 - ItemInfo (Item_Dyes_Rosa) components: 0
 - ItemInfo (Item_Dyes_Svartr) components: 0
 - ItemInfo (Item_Dyeing_Cloth1Dyeing) components: 0
 - ItemInfo (Item_Dyeing_YuleDecorationDyeing1) components: 0
ItemInfoList (MinerExcludedResources) amount: 2
 - ItemInfo (Item_Magic_JotunBlood) components: 16
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 1
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 1
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 0,2
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 0,2
 - - Components item info (Item_Stone_Raw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_Raw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - ItemInfo (Item_Magic_JotunBloodSmall) components: 6
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 1
 - - Components item info (Item_Magic_EyeOfOdin) quantity: 1 chance: 0,2
 - - Components item info (Item_Stone_Raw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
 - - Components item info (Item_Stone_SmallRaw) quantity: 1 chance: 1
ItemInfoList (StartItems_Draugar_Ranger) amount: 30
 - ItemInfo (Item_Bows_FlimsyBow) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
 - ItemInfo (Item_Arrows_WoodArrows) components: 0
ItemInfoList (WorkshopBlueprints_T2) amount: 99
 - ItemInfo (Item_Binders_BasicRope) components: 0
 - ItemInfo (Item_Binders_5xBasicRope) components: 0
 - ItemInfo (Item_Materials_StoneBlade) components: 0
 - ItemInfo (Item_Materials_5x StoneBlade) components: 0
 - ItemInfo (Item_Materials_FibresFromBark) components: 0
 - ItemInfo (Item_Tools_StoneAxe) components: 0
 - ItemInfo (Item_Tools_StonePickaxe) components: 0
 - ItemInfo (Item_Tools_StoneKnife) components: 0
 - ItemInfo (Item_Tools_WoodHammer) components: 0
 - ItemInfo (Item_Tools_SimpleTorch) components: 0
 - ItemInfo (Item_Tools_LargeStoneAxe) components: 0
 - ItemInfo (Item_Tools_LargeStonePickaxe) components: 0
 - ItemInfo (Item_Tools_WoodHoe) components: 0
 - ItemInfo (Item_Tools_WoodRake) components: 0
 - ItemInfo (Item_Weaponry_FlimsyBow) components: 0
 - ItemInfo (Item_Weaponry_SimpleBow) components: 0
 - ItemInfo (Item_Weaponry_Shield1) components: 0
 - ItemInfo (Item_Weaponry_WoodArrow) components: 0
 - ItemInfo (Item_Weaponry_WoodArrowBone) components: 0
 - ItemInfo (Item_Weaponry_1HSimpleSpikedClub) components: 0
 - ItemInfo (Item_Weaponry_1HFlimsyClub) components: 0
 - ItemInfo (Item_Armor_LinenChest) components: 0
 - ItemInfo (Item_Armor_LinenGloves) components: 0
 - ItemInfo (Item_Armor_LinenHelm) components: 0
 - ItemInfo (Item_Armor_LinenPants) components: 0
 - ItemInfo (Item_Tools_DrawKnifeBP) components: 0
 - ItemInfo (Item_Tools_IronSmallAxe) components: 0
 - ItemInfo (Item_Tools_IronSmallPickaxe) components: 0
 - ItemInfo (Item_Armor_Linen1Boots) components: 0
 - ItemInfo (Item_Armor_Linen1Chest) components: 0
 - ItemInfo (Item_Armor_Linen1Helm) components: 0
 - ItemInfo (Item_Armor_Linen1Pants) components: 0
 - ItemInfo (Item_Armor_Linen1Hood) components: 0
 - ItemInfo (Item_Armor_CapePelt1) components: 0
 - ItemInfo (Item_Armor_CapeLinen1) components: 0
 - ItemInfo (Item_Tools_IronHoeBP) components: 0
 - ItemInfo (Item_Tools_IronBuildHammerBP) components: 0
 - ItemInfo (Item_Tools_IronRakeBP) components: 0
 - ItemInfo (Item_Tools_RoadmakerBP) components: 0
 - ItemInfo (Item_Tools_IronRoadmakerBP) components: 0
 - ItemInfo (Item_Tools_IronSkinningKnifeBP) components: 0
 - ItemInfo (Item_Armor_Iron0Helm) components: 0
 - ItemInfo (Item_Armor_LinenBoots) components: 0
 - ItemInfo (Item_Weaponry_CrudeRoundShieldBP) components: 0
 - ItemInfo (Item_Tools_ThatchBrushBP) components: 0
 - ItemInfo (Item_Weaponry_1HIronSwordBP) components: 0
 - ItemInfo (Item_Weaponry_2HIronSwordBP) components: 0
 - ItemInfo (Item_Weaponry_1HIronBattleAxeBP) components: 0
 - ItemInfo (Item_Weaponry_2HIronBattleAxeBP) components: 0
 - ItemInfo (Item_Tools_LargeIronPickaxeBP) components: 0
 - ItemInfo (Item_Weaponry_1HIronBattleHammerBP) components: 0
 - ItemInfo (Item_Weaponry_2HIronBattleHammerBP) components: 0
 - ItemInfo (Item_Tools_LargeIronAxeBP) components: 0
 - ItemInfo (Item_Weaponry_IronTippedArrowBP) components: 0
 - ItemInfo (Item_Weaponry_LongbowBP) components: 0
 - ItemInfo (Item_Tools_FlimsyFishingRodBP) components: 0
 - ItemInfo (Item_Weaponry_CrudeTowerShieldBP) components: 0
 - ItemInfo (Item_Weaponry_CrudeNormanShieldBP) components: 0
 - ItemInfo (Item_Weaponry_CrudeHeaterShieldBP) components: 0
 - ItemInfo (Item_Weaponry_ReinforcedRoundShieldBP) components: 0
 - ItemInfo (Item_Weaponry_ReinforcedTowerShieldBP) components: 0
 - ItemInfo (Item_Weaponry_ReinforcedHeaterShieldBP) components: 0
 - ItemInfo (Item_Weaponry_ReinforcedNormanShieldBP) components: 0
 - ItemInfo (Item_Weaponry_2HHeavyClub) components: 0
 - ItemInfo (Item_Armor_Leather1Shoulders) components: 0
 - ItemInfo (Item_Armor_Leather2Shoulders) components: 0
 - ItemInfo (Item_Armor_Plate1Shoulders) components: 0
 - ItemInfo (Item_Armor_Plate2Shoulders) components: 0
 - ItemInfo (Item_Armor_Linen2Chest) components: 0
 - ItemInfo (Item_Armor_Leather1Chest) components: 0
 - ItemInfo (Item_Tools_SmolkrHornBP) components: 0
 - ItemInfo (Item_Decoration_WolfBP) components: 0
 - ItemInfo (Item_Decoration_Tag3BP) components: 0
 - ItemInfo (Item_Decoration_Tag2BP) components: 0
 - ItemInfo (Item_Decoration_Tag1BP) components: 0
 - ItemInfo (Item_Decoration_OdinBP) components: 0
 - ItemInfo (Item_Decoration_LogBP) components: 0
 - ItemInfo (Item_Decoration_HaugrHeadBP) components: 0
 - ItemInfo (Item_Decoration_JarlHeadBP) components: 0
 - ItemInfo (Item_Decoration_BearBP) components: 0
 - ItemInfo (Item_Decoration_FreyaBP) components: 0
 - ItemInfo (Item_Decoration_FenrirBP) components: 0
